seed,player,num_rounds,risk,wealth,total_rent_paid,properties_owned,passed_go_count,neighborhood_completeness,loser
218,Player 2,47,1,85.11,84,11,6,0.0,1
219,Player 1,14,0,-5.33,24,6,1,0.0,1
219,Player 2,14,1,64.03,22,6,1,0.0,1
220,Player 1,15,0,-14.77,6,7,2,1.0,1
220,Player 2,15,1,208.25,60,5,2,0.0,1
221,Player 1,17,0,-100.0,25,8,2,0.0,1
221,Player 2,17,1,42.12,16,6,2,0.0,1
222,Player 1,19,0,0.0,10,6,3,0.0,2
222,Player 2,19,1,-90.63,29,7,2,0.0,2
223,Player 1,94,0,-22.49,404,11,12,1.0,1
223,Player 2,94,1,593.58,290,14,15,1.0,1
224,Player 1,17,0,100.0,32,5,2,0.0,2
224,Player 2,17,1,-96.46,0,8,2,0.0,2
225,Player 1,41,0,494.08,112,7,7,0.0,2
225,Player 2,41,1,-12.0,123,10,4,1.0,2
226,Player 1,11,0,-4.0,4,6,0,0.0,1
226,Player 2,11,1,242.87,0,4,0,0.0,1
227,Player 1,36,0,-80.0,79,8,5,0.0,1
227,Player 2,36,1,127.06,62,7,3,0.0,1
228,Player 1,15,0,0.0,14,5,2,0.0,2
228,Player 2,15,1,-55.52,0,6,2,0.0,2
229,Player 1,12,0,-55.25,12,5,1,0.0,1
229,Player 2,12,1,374.78,0,4,2,0.0,1
230,Player 1,8,0,-20.0,26,5,0,0.0,1
230,Player 2,8,1,150.71,0,4,0,0.0,1
231,Player 1,32,0,-26.0,57,8,5,1.0,1
231,Player 2,32,1,88.78,25,7,3,1.0,1
232,Player 1,29,0,-12.0,26,8,3,0.0,1
232,Player 2,29,1,239.41,25,7,4,1.0,1
233,Player 1,11,0,134.63,52,7,1,0.0,2
233,Player 2,11,1,-6.0,8,5,1,0.0,2
234,Player 1,65,0,-25.0,132,10,10,1.0,1
234,Player 2,65,1,69.0,118,10,8,2.0,1
235,Player 1,19,0,-35.06,6,7,2,1.0,1
235,Player 2,19,1,0.0,8,6,2,0.0,1
236,Player 1,12,0,-4.0,22,6,2,0.0,1
236,Player 2,12,1,351.09,50,5,2,1.0,1
237,Player 1,39,0,-6.0,106,8,5,0.0,1
237,Player 2,39,1,194.79,94,9,5,2.0,1
238,Player 1,18,0,-6.0,16,6,2,0.0,1
238,Player 2,18,1,240.59,101,7,3,0.0,1
239,Player 1,18,0,-100.0,18,6,2,0.0,1
239,Player 2,18,1,208.38,25,4,2,0.0,1
240,Player 1,24,0,-10.07,35,6,2,0.0,1
240,Player 2,24,1,227.6,29,7,4,0.0,1
241,Player 1,20,0,-18.0,40,7,2,0.0,1
241,Player 2,20,1,179.01,53,6,2,0.0,1
242,Player 1,32,0,-100.0,0,9,5,0.0,1
242,Player 2,32,1,229.47,47,7,4,1.0,1
243,Player 1,19,0,194.0,54,5,2,0.0,2
243,Player 2,19,1,-0.99,0,7,2,0.0,2
244,Player 1,26,0,-76.0,43,6,3,0.0,1
244,Player 2,26,1,207.18,96,6,4,0.0,1
245,Player 1,48,0,111.57,195,8,7,1.0,2
245,Player 2,48,1,-24.0,152,12,7,1.0,2
246,Player 1,61,0,153.22,147,9,7,0.0,2
246,Player 2,61,1,-12.0,130,15,11,3.0,2
247,Player 1,30,0,212.02,10,6,4,0.0,2
247,Player 2,30,1,-7.95,45,8,4,2.0,2
248,Player 1,23,0,-200.0,26,7,2,0.0,1
248,Player 2,23,1,324.73,62,6,3,1.0,1
249,Player 1,22,0,-98.0,38,8,3,0.0,1
249,Player 2,22,1,179.11,2,7,3,0.0,1
250,Player 1,24,0,-18.48,45,7,3,0.0,1
250,Player 2,24,1,173.22,52,8,3,0.0,1
251,Player 1,206,0,2365.71,944,9,28,1.0,2
251,Player 2,206,1,1850.4,755,19,34,4.0,2
252,Player 1,17,0,-200.0,18,8,3,0.0,1
252,Player 2,17,1,112.62,12,5,1,0.0,1
253,Player 1,26,0,-12.0,20,8,3,0.0,1
253,Player 2,26,1,167.34,36,8,3,1.0,1
254,Player 1,14,0,-22.0,28,6,2,0.0,1
254,Player 2,14,1,290.16,0,4,2,1.0,1
255,Player 1,118,0,1327.27,600,11,18,1.0,2
255,Player 2,118,1,542.64,512,17,18,3.0,2
256,Player 1,31,0,-8.0,44,9,4,0.0,1
256,Player 2,31,1,201.03,14,6,4,0.0,1
257,Player 1,35,0,389.71,58,6,4,1.0,2
257,Player 2,35,1,-4.0,28,9,5,1.0,2
258,Player 1,24,0,62.87,25,7,1,0.0,2
258,Player 2,24,1,-82.84,47,6,3,0.0,2
259,Player 1,44,0,218.0,165,9,8,0.0,2
259,Player 2,44,1,-18.0,167,10,6,0.0,2
260,Player 1,15,0,-83.66,2,6,2,0.0,1
260,Player 2,15,1,30.67,24,7,2,1.0,1
261,Player 1,15,0,-4.0,8,7,2,1.0,1
261,Player 2,15,1,139.99,0,6,1,0.0,1
262,Player 1,17,0,-59.28,18,8,2,0.0,1
262,Player 2,17,1,261.37,14,5,3,0.0,1
263,Player 1,8,0,181.37,0,6,1,1.0,2
263,Player 2,8,1,-0.86,28,5,1,0.0,2
264,Player 1,79,0,235.0,145,10,10,1.0,2
264,Player 2,79,1,-26.77,219,12,11,0.0,2
265,Player 1,22,0,-10.0,28,6,3,0.0,1
265,Player 2,22,1,10.0,0,9,3,2.0,1
266,Player 1,20,0,-6.0,46,7,2,0.0,1
266,Player 2,20,1,49.07,10,7,2,0.0,1
267,Player 1,15,0,-4.0,4,5,1,1.0,1
267,Player 2,15,1,192.83,0,8,2,1.0,1
268,Player 1,13,0,-94.0,25,4,1,0.0,1
268,Player 2,13,1,236.62,6,5,2,0.0,1
269,Player 1,57,0,187.0,108,9,7,0.0,2
269,Player 2,57,1,-22.0,176,14,10,3.0,2
270,Player 1,15,0,-8.0,18,6,2,0.0,1
270,Player 2,15,1,32.29,14,6,0,0.0,1
271,Player 1,12,0,-100.0,22,6,1,0.0,1
271,Player 2,12,1,536.3199999999999,24,4,2,0.0,1
272,Player 1,38,0,-100.0,40,9,6,1.0,1
272,Player 2,38,1,181.31,98,11,6,1.0,1
273,Player 1,19,0,16.0,34,7,3,0.0,2
273,Player 2,19,1,-16.0,68,9,3,0.0,2
274,Player 1,15,0,232.0,0,5,1,0.0,2
274,Player 2,15,1,-15.46,44,8,2,2.0,2
275,Player 1,23,0,-35.0,37,6,3,0.0,1
275,Player 2,23,1,362.44,12,8,4,1.0,1
276,Player 1,62,0,-6.0,110,10,8,1.0,1
276,Player 2,62,1,252.12,150,9,9,0.0,1
277,Player 1,31,0,-18.0,72,9,5,0.0,1
277,Player 2,31,1,181.11,30,9,5,0.0,1
278,Player 1,41,0,-100.0,50,8,6,0.0,1
278,Player 2,41,1,280.11,10,9,6,0.0,1
279,Player 1,16,0,75.1,12,6,2,0.0,2
279,Player 2,16,1,-88.0,8,8,2,2.0,2
280,Player 1,39,0,-90.0,60,9,6,0.0,1
280,Player 2,39,1,83.09,18,8,4,1.0,1
281,Player 1,69,0,-100.0,130,10,10,0.0,1
281,Player 2,69,1,136.42,172,12,9,2.0,1
282,Player 1,22,0,-100.0,0,8,3,0.0,1
282,Player 2,22,1,324.37,35,5,3,0.0,1
283,Player 1,29,0,412.0,52,8,4,1.0,2
283,Player 2,29,1,-17.54,82,9,4,1.0,2
284,Player 1,47,0,68.25,93,9,6,1.0,2
284,Player 2,47,1,-59.92,82,9,7,1.0,2
285,Player 1,19,0,-6.0,10,5,1,0.0,1
285,Player 2,19,1,219.57,20,7,3,1.0,1
286,Player 1,11,0,-49.92,22,6,1,0.0,1
286,Player 2,11,1,92.81,0,5,1,0.0,1
287,Player 1,16,0,-94.0,20,6,1,1.0,1
287,Player 2,16,1,28.47,20,5,1,0.0,1
288,Player 1,28,0,-6.0,37,8,4,1.0,1
288,Player 2,28,1,119.33,18,8,4,0.0,1
289,Player 1,13,0,205.71,24,5,0,0.0,2
289,Player 2,13,1,-14.0,26,5,1,0.0,2
290,Player 1,7,0,-12.0,12,6,1,0.0,1
290,Player 2,7,1,50.99,0,5,1,1.0,1
291,Player 1,163,0,1877.93,754,11,22,0.0,2
291,Player 2,163,1,851.79,482,17,26,2.0,2
292,Player 1,40,0,54.98,71,11,6,2.0,2
292,Player 2,40,1,-96.0,94,10,6,0.0,2
293,Player 1,24,0,-98.24,28,7,3,1.0,1
293,Player 2,24,1,91.72,4,9,4,1.0,1
294,Player 1,15,0,25.0,6,8,2,0.0,2
294,Player 2,15,1,-25.0,39,7,2,1.0,2
295,Player 1,20,0,-6.0,30,8,2,0.0,1
295,Player 2,20,1,276.01,0,7,3,1.0,1
296,Player 1,19,0,-30.62,0,7,3,0.0,1
296,Player 2,19,1,34.9,84,7,3,1.0,1
297,Player 1,13,0,-25.0,25,5,1,0.0,1
297,Player 2,13,1,52.23,0,6,2,0.0,1
298,Player 1,11,0,-10.0,10,8,2,0.0,1
298,Player 2,11,1,140.63,20,3,2,0.0,1
299,Player 1,10,0,-6.0,12,5,2,0.0,1
