seed,player,num_rounds,risk,wealth,total_rent_paid,properties_owned,passed_go_count,neighborhood_completeness,loser
218,Player 2,60,1,-4,206,12,7,0.0,2
219,Player 1,24,0,30,0,9,3,1.0,2
219,Player 2,24,1,-10,10,11,4,1.0,2
220,Player 1,42,0,454,82,10,6,1.0,2
220,Player 2,42,1,-14,146,13,5,2.0,2
221,Player 1,12,0,-15,0,8,1,0.0,1
221,Player 2,12,1,395,25,6,1,0.0,1
222,Player 1,15,0,-3,31,8,2,0.0,1
222,Player 2,15,1,203,18,9,2,0.0,1
223,Player 1,23,0,-34,80,9,3,0.0,1
223,Player 2,23,1,654,26,7,4,1.0,1
224,Player 1,34,0,97,93,9,5,0.0,2
224,Player 2,34,1,-37,50,12,5,0.0,2
225,Player 1,63,0,12,185,17,9,3.0,1
225,Player 2,63,1,398,317,11,10,1.0,1
226,Player 1,16,0,42,50,7,2,1.0,2
226,Player 2,16,1,-2,32,9,2,0.0,2
227,Player 1,30,0,86,44,9,2,0.0,2
227,Player 2,30,1,-6,70,9,3,1.0,2
228,Player 1,16,0,-30,0,7,1,0.0,1
228,Player 2,16,1,840,50,5,2,0.0,1
229,Player 1,14,0,52,12,9,2,0.0,2
229,Player 2,14,1,-2,34,7,1,0.0,2
230,Player 1,26,0,-179,65,11,3,0.0,1
230,Player 2,26,1,419,36,7,4,0.0,1
231,Player 1,17,0,-186,0,10,3,1.0,1
231,Player 2,17,1,56,4,7,2,0.0,1
232,Player 1,13,0,-100,0,8,0,0.0,1
232,Player 2,13,1,780,0,4,1,1.0,1
233,Player 1,18,0,-53,32,7,1,0.0,1
233,Player 2,18,1,253,49,7,1,0.0,1
234,Player 1,42,0,370,190,13,7,4.0,2
234,Player 2,42,1,-80,180,11,5,1.0,2
235,Player 1,22,0,-69,20,9,2,0.0,1
235,Player 2,22,1,99,31,10,2,0.0,1
236,Player 1,32,0,31,42,11,3,1.0,2
236,Player 2,32,1,-51,113,11,4,1.0,2
237,Player 1,24,0,-1,91,10,2,1.0,1
237,Player 2,24,1,141,30,11,4,2.0,1
238,Player 1,20,0,-75,26,8,2,0.0,1
238,Player 2,20,1,205,51,8,2,1.0,1
239,Player 1,28,0,140,26,9,4,0.0,2
239,Player 2,28,1,-80,86,12,4,2.0,2
240,Player 1,21,0,248,56,9,3,0.0,2
240,Player 2,21,1,-18,64,9,3,0.0,2
241,Player 1,58,0,-2,229,14,9,2.0,1
241,Player 2,58,1,112,137,14,9,2.0,1
242,Player 1,18,0,-7,43,6,1,0.0,1
242,Player 2,18,1,217,36,9,3,0.0,1
243,Player 1,22,0,417,41,10,3,2.0,2
243,Player 2,22,1,-7,28,8,3,0.0,2
244,Player 1,62,0,649,339,11,10,0.0,2
244,Player 2,62,1,261,178,17,9,3.0,2
245,Player 1,17,0,331,39,9,3,0.0,2
245,Player 2,17,1,-21,0,8,2,0.0,2
246,Player 1,105,0,1531,494,13,15,1.0,2
246,Player 2,105,1,479,585,15,16,2.0,2
247,Player 1,70,0,70,239,15,10,2.0,1
247,Player 2,70,1,240,239,13,9,1.0,1
248,Player 1,22,0,58,0,10,3,0.0,2
248,Player 2,22,1,-38,118,8,3,0.0,2
249,Player 1,23,0,-6,58,10,3,0.0,1
249,Player 2,23,1,86,22,10,3,1.0,1
250,Player 1,23,0,459,39,9,4,1.0,2
250,Player 2,23,1,-19,68,12,3,1.0,2
251,Player 1,33,0,388,46,10,5,0.0,2
251,Player 2,33,1,-78,64,9,4,0.0,2
252,Player 1,12,0,574,16,6,1,0.0,2
252,Player 2,12,1,-44,0,8,1,0.0,2
253,Player 1,30,0,161,28,12,4,1.0,2
253,Player 2,30,1,-21,129,10,4,0.0,2
254,Player 1,21,0,-86,20,9,3,0.0,1
254,Player 2,21,1,236,4,7,2,1.0,1
255,Player 1,20,0,-68,0,10,2,1.0,1
255,Player 2,20,1,98,62,7,3,0.0,1
256,Player 1,85,0,1145,222,14,14,2.0,2
256,Player 2,85,1,465,267,14,14,2.0,2
257,Player 1,62,0,299,287,11,8,1.0,2
257,Player 2,62,1,-79,126,13,8,1.0,2
258,Player 1,23,0,107,95,9,3,1.0,2
258,Player 2,23,1,-27,22,8,2,0.0,2
259,Player 1,11,0,14,6,7,0,0.0,2
259,Player 2,11,1,-84,0,8,1,1.0,2
260,Player 1,15,0,-76,0,9,2,0.0,1
260,Player 2,15,1,6,4,9,1,0.0,1
261,Player 1,72,0,22,508,12,8,1.0,1
